0,1,2,3,4
2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →
Statistic,Name,Team,#,Top 25
Base on Balls,David Ortiz,Boston,111,Top 25
Batting Average,Magglio Ordonez,Detroit,.363,Top 25
Doubles,Magglio Ordonez,Detroit,54,Top 25
Hits,Ichiro Suzuki,Seattle,238,Top 25
Home Runs,Alex Rodriguez,New York,54,Top 25
On Base Percentage,David Ortiz,Boston,.445,Top 25
RBI,Alex Rodriguez,New York,156,Top 25
Runs,Alex Rodriguez,New York,143,Top 25
Slugging Average,Alex Rodriguez,New York,.645,Top 25
Stolen Bases,Carl Crawford,Tampa Bay,50,Top 25
Stolen Bases,Brian Roberts,Baltimore,50,Top 25
Total Bases,Alex Rodriguez,New York,376,Top 25
Triples,Curtis Granderson,Detroit,23,Top 25
Statistic,Name,Team,#,Top 25
2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
