0,1,2,3,4
2018 American League Pitcher Review Pitching Statistics League Leaderboard,2018 American League Pitcher Review Pitching Statistics League Leaderboard,2018 American League Pitcher Review Pitching Statistics League Leaderboard,2018 American League Pitcher Review Pitching Statistics League Leaderboard,2018 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Jose Berrios,Minnesota Twins,2,Top 25
Complete Games,Carlos Carrasco,Cleveland Indians,2,Top 25
Complete Games,Corey Kluber,Cleveland Indians,2,Top 25
Complete Games,James Paxton,Seattle Mariners,2,Top 25
ERA,Blake Snell,Tampa Bay Rays,1.89,Top 25
Games,Ryan Pressly,Minnesota Twins,77,Top 25
Games,Ryan Pressly,Houston Astros,77,Top 25
Saves,Edwin Diaz,Seattle Mariners,57,Top 25
Shutouts,Jose Berrios,Minnesota Twins,1,Top 25
Shutouts,Mike Clevinger,Cleveland Indians,1,Top 25
Shutouts,Gerrit Cole,Houston Astros,1,Top 25
Shutouts,Andrew Heaney,Los Angeles Angels,1,Top 25
Shutouts,Corey Kluber,Cleveland Indians,1,Top 25
Shutouts,Sean Manaea,Oakland Athletics,1,Top 25
Shutouts,Daniel Mengden,Oakland Athletics,1,Top 25
Shutouts,James Paxton,Seattle Mariners,1,Top 25
Shutouts,Luis Severino,New York Yankees,1,Top 25
Shutouts,Masahiro Tanaka,New York Yankees,1,Top 25
Shutouts,Justin Verlander,Houston Astros,1,Top 25
Strikeouts,Justin Verlander,Houston Astros,290,Top 25
Winning Percentage,Charlie Morton,Houston Astros,.833,Top 25
Wins,Blake Snell,Tampa Bay Rays,21,Top 25
Statistic,Name,Team,#,Top 25
2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History
