0,1,2,3,4
2016 American League Pitcher Review Pitching Statistics League Leaderboard,2016 American League Pitcher Review Pitching Statistics League Leaderboard,2016 American League Pitcher Review Pitching Statistics League Leaderboard,2016 American League Pitcher Review Pitching Statistics League Leaderboard,2016 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Chris Sale,Chicago,6,Top 25
ERA,Aaron Sanchez,Toronto,3.00,Top 25
Games,Bryan Shaw,Cleveland,75,Top 25
Saves,Zach Britton,Baltimore,47,Top 25
Shutouts,Corey Kluber,Cleveland,2,Top 25
Strikeouts,Justin Verlander,Detroit,254,Top 25
Winning Percentage,Aaron Sanchez,Toronto,.882,Top 25
Wins,Rick Porcello,Boston,22,Top 25
Statistic,Name,Team,#,Top 25
