0,1,2,3,4,5,6,7
2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
East,New York Yankees,101,61,0,.623,--,"$182,835,513"
East,Boston Red Sox,98,64,0,.605,3,"$125,208,542"
East,Baltimore Orioles,78,84,0,.481,23,"$51,212,653"
East,Tampa Bay Devil Rays,70,91,0,.435,30½,"$29,506,667"
East,Toronto Blue Jays,67,94,0,.416,33½,"$50,017,000"
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Minnesota Twins,92,70,0,.568,--,"$53,585,000"
Central,Chicago White Sox,83,79,0,.512,9,"$76,212,500"
Central,Cleveland Indians,80,82,0,.494,12,"$34,569,300"
Central,Detroit Tigers,72,90,0,.444,20,"$46,353,554"
Central,Kansas City Royals,58,104,0,.358,34,"$47,609,000"
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
West,Anaheim Angels,92,70,0,.568,--,"$101,084,667"
West,Oakland Athletics,91,71,0,.562,1,"$59,825,167"
West,Texas Rangers,89,73,0,.549,3,"$54,825,973"
West,Seattle Mariners,63,99,0,.389,29,"$81,543,833"
2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings
