0,1,2,3,4,5,6
2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series
East,Team | Roster,W,L,T,WP,GB
East,New York Yankees,99,63,0,.611,-
East,Toronto Blue Jays,92,70,0,.568,7.0
East,Tampa Bay Rays,86,76,0,.531,13.0
East,Baltimore Orioles,83,79,0,.512,16.0
East,Boston Red Sox,78,84,0,.481,21.0
Central,Team | Roster,W,L,T,WP,GB
Central,Cleveland Guardians,92,70,0,.568,-
Central,Chicago White Sox,81,81,0,.500,11.0
Central,Minnesota Twins,78,84,0,.481,14.0
Central,Detroit Tigers,66,96,0,.407,26.0
Central,Kansas City Royals,65,97,0,.401,27.0
West,Team | Roster,W,L,T,WP,GB
West,Houston Astros,106,56,0,.654,-
West,Seattle Mariners,90,72,0,.556,16.0
West,Los Angeles Angels,73,89,0,.451,33.0
West,Texas Rangers,68,94,0,.420,38.0
West,Oakland Athletics,60,102,0,.370,46.0
A.L.,Team | Roster,W,L,T,WP,GB
2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings
