0,1,2,3,4
2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →,2012 American League Pitcher Review ← 2011 | 2012 Pitching Statistics League Leaders | 2013 →
Statistic,Name,Team,#,Top 25
Complete Games,Justin Verlander,Detroit,6,Top 25
ERA,David Price,Tampa Bay,2.56,Top 25
Games,Boone Logan,New York,80,Top 25
Saves,Jim Johnson,Baltimore,51,Top 25
Shutouts,Felix Hernandez,Seattle,5,Top 25
Strikeouts,Justin Verlander,Detroit,239,Top 25
Winning Percentage,David Price,Tampa Bay,.800,Top 25
Winning Percentage,Jered Weaver,Los Angeles,.800,Top 25
Wins,David Price,Tampa Bay,20,Top 25
Wins,Jered Weaver,Los Angeles,20,Top 25
Statistic,Name,Team,#,Top 25
2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
