0,1,2,3,4
2016 American League Player Review Hitting Statistics League Leaderboard,2016 American League Player Review Hitting Statistics League Leaderboard,2016 American League Player Review Hitting Statistics League Leaderboard,2016 American League Player Review Hitting Statistics League Leaderboard,2016 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Mike Trout,Los Angeles,116,Top 25
Batting Average,Jose Altuve,Houston,.338,Top 25
Doubles,David Ortiz,Boston,48,Top 25
Hits,Jose Altuve,Houston,216,Top 25
Home Runs,Mark Trumbo,Baltimore,47,Top 25
On Base Percentage,Mike Trout,Los Angeles,.441,Top 25
RBI,Edwin Encarnacion,Toronto,127,Top 25
RBI,David Ortiz,Boston,127,Top 25
Runs,Mike Trout,Los Angeles,123,Top 25
Slugging Average,David Ortiz,Boston,.620,Top 25
Stolen Bases,Rajai Davis,Cleveland,43,Top 25
Total Bases,Mookie Betts,Boston,359,Top 25
Triples,Adam Eaton,Chicago,9,Top 25
Statistic,Name,Team,#,Top 25
