0,1,2,3,4
2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →
Statistic,Name,Team,#,Top 25
Base on Balls,Aaron Judge,New York,124,Top 25
Batting Average,Aaron Judge,New York,.331,Top 25
Doubles,Bobby Witt Jr.,Kansas City,47,Top 25
Hits,Bobby Witt Jr.,Kansas City,184,Top 25
Home Runs,Cal Raleigh,Seattle,60,Top 25
On Base Percentage,Aaron Judge,New York,.457,Top 25
RBI,Cal Raleigh,Seattle,125,Top 25
Runs,Aaron Judge,New York,137,Top 25
Slugging Average,Aaron Judge,New York,.688,Top 25
Stolen Bases,José Caballero,Tampa Bay (34),49,Top 25
Stolen Bases,José Caballero,New York (15),49,Top 25
Total Bases,Aaron Judge,New York,372,Top 25
Triples,Jarren Duran,Boston,13,Top 25
Statistic,Name,Team,#,Top 25
2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History
