0,1,2,3,4,5,6
2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series
East,Team | Roster,W,L,T,WP,GB
East,Tampa Bay Rays,40,20,0,.667,--
East,New York Yankees,33,27,0,.550,7.0
East,Toronto Blue Jays,32,28,0,.533,8.0
East,Baltimore Orioles,25,35,0,.417,15.0
East,Boston Red Sox,24,36,0,.400,16.0
Central,Team | Roster,W,L,T,WP,GB
Central,Minnesota Twins,36,24,0,.600,--
Central,Chicago White Sox,35,25,0,.583,1.0
Central,Cleveland Indians,35,25,0,.583,1.0
Central,Kansas City Royals,26,34,0,.433,10.0
Central,Detroit Tigers,23,35,0,.397,12.0
West,Team | Roster,W,L,T,WP,GB
West,Oakland Athletics,36,24,0,.600,--
West,Houston Astros,29,31,0,.483,7.0
West,Seattle Mariners,27,33,0,.450,9.0
West,Los Angeles Angels,26,34,0,.433,10.0
West,Texas Rangers,22,38,0,.367,14.0
A.L.,Team | Roster,W,L,T,WP,GB
2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings
