0,1,2,3,4
2015 American League Player Review  Hitting Statistics League Leaderboard,2015 American League Player Review  Hitting Statistics League Leaderboard,2015 American League Player Review  Hitting Statistics League Leaderboard,2015 American League Player Review  Hitting Statistics League Leaderboard,2015 American League Player Review  Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Jose Bautista,Toronto,110,Top 25
Batting Average,Miguel Cabrera,Detroit,.338,Top 25
Doubles,Michael Brantley,Cleveland,45,Top 25
Hits,Jose Altuve,Houston,200,Top 25
Home Runs,Chris Davis,Baltimore,47,Top 25
On Base Percentage,Miguel Cabrera,Detroit,.440,Top 25
RBI,Josh Donaldson,Toronto,123,Top 25
Runs,Josh Donaldson,Toronto,122,Top 25
Slugging Average,Mike Trout,Los Angeles,.590,Top 25
Stolen Bases,Jose Altuve,Houston,38,Top 25
Total Bases,Josh Donaldson,Toronto,352,Top 25
Triples,Eddie Rosario,Minnesota,15,Top 25
Statistic,Name,Team,#,Top 25
