0,1,2,3,4
2002 American League Player Review  Hitting Statistics League Leaderboard,2002 American League Player Review  Hitting Statistics League Leaderboard,2002 American League Player Review  Hitting Statistics League Leaderboard,2002 American League Player Review  Hitting Statistics League Leaderboard,2002 American League Player Review  Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Jim Thome,Cleveland,122,Top 25
Batting Average,Manny Ramirez,Boston,.349,Top 25
Doubles,Garret Anderson,Anaheim,56,Top 25
Doubles,Nomar Garciaparra,Boston,56,Top 25
Hits,Alfonso Soriano,New York,209,Top 25
Home Runs,Alex Rodriguez,Texas,57,Top 25
On Base Percentage,Manny Ramirez,Boston,.450,Top 25
RBI,Alex Rodriguez,Texas,142,Top 25
Runs,Alfonso Soriano,New York,128,Top 25
Slugging Average,Jim Thome,Cleveland,.677,Top 25
Stolen Bases,Alfonso Soriano,New York,41,Top 25
Total Bases,Alex Rodriguez,Texas,389,Top 25
Triples,Johnny Damon,Boston,11,Top 25
Statistic,Name,Team,#,Top 25
