0,1,2,3,4
2004 American League Player Review Hitting Statistics League Leaderboard,2004 American League Player Review Hitting Statistics League Leaderboard,2004 American League Player Review Hitting Statistics League Leaderboard,2004 American League Player Review Hitting Statistics League Leaderboard,2004 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Eric Chavez,Oakland,95,Top 25
Batting Average,Ichiro Suzuki,Seattle,.372,Top 25
Doubles,Brian Roberts,Baltimore,50,Top 25
Hits,Ichiro Suzuki,Seattle,262,Top 25
Home Runs,Manny Ramirez,Boston,43,Top 25
On Base Percentage,Melvin Mora,Baltimore,.419,Top 25
RBI,Miguel Tejada,Baltimore,150,Top 25
Runs,Vladimir Guerrero,Anaheim,124,Top 25
Slugging Average,Manny Ramirez,Boston,.613,Top 25
Stolen Bases,Carl Crawford,Tampa Bay,59,Top 25
Total Bases,Vladimir Guerrero,Anaheim,366,Top 25
Triples,Carl Crawford,Tampa Bay,19,Top 25
Statistic,Name,Team,#,Top 25
