0,1,2,3,4,5,6,7
2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
East,New York Yankees,97,65,0,.599,--,"$194,663,079"
East,Toronto Blue Jays,87,75,0,.537,10,"$71,915,000"
East,Boston Red Sox,86,76,0,.531,11,"$120,099,824"
East,Baltimore Orioles,70,92,0,.432,27,"$72,585,582"
East,Tampa Bay Devil Rays,61,101,0,.377,36,"$35,417,967"
Central,Team | Roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Minnesota Twins,96,66,0,.593,--,"$63,396,006"
Central,Detroit Tigers,95,67,0,.586,1,"$82,612,866"
Central,Chicago White Sox,90,72,0,.556,6,"$102,750,667"
Central,Cleveland Indians,78,84,0,.481,18,"$56,031,500"
Central,Kansas City Royals,62,100,0,.383,34,"$47,294,000"
West,Team | Roster],Wins,Losses,Ties,WP,GB,Payroll
West,Oakland Athletics,93,69,0,.574,--,"$62,243,079"
West,Los Angeles Angels,89,73,0,.549,4,"$103,472,000"
West,Texas Rangers,80,82,0,.494,13,"$68,228,662"
West,Seattle Mariners,78,84,0,.481,15,"$87,959,833"
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings,2006 American League Final Standings
