0,1,2,3,4
2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →
Statistic,Name,Team,#,Top 25
Base on Balls,J.P. Crawford,Seattle Mariners,94,Top 25
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,Top 25
Doubles,Corey Seager,Texas Rangers,42,Top 25
Hits,Marcus Semien,Texas Rangers,185,Top 25
Home Runs,Shohei Ohtani,Los Angeles Angels,44,Top 25
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,Top 25
RBI,Kyle Tucker,Houston Astros,112,Top 25
Runs,Marcus Semien,Texas Rangers,122,Top 25
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,Top 25
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,Top 25
Total Bases,Shohei Ohtani,Los Angeles Angels,325,Top 25
Triples,Bobby Witt Jr.,Kansas City Royals,11,Top 25
Statistic,Name,Team,#,Top 25
2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History
