0,1,2,3,4,5,6,7
2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
East,Boston Red Sox,93,69,0,.574,--,$
East,Baltimore Orioles,89,73,0,.549,4,$
East,Toronto Blue Jays,89,73,0,.549,4,$
East,New York Yankees,84,78,0,.519,9,$
East,Tampa Bay Rays,68,94,0,.420,25,$
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Cleveland Indians,94,67,0,.584,--,$
Central,Detroit Tigers,86,75,0,.534,8,$
Central,Kansas City Royals,81,81,0,.500,13.5,$
Central,Chicago White Sox,78,84,0,.481,16.5,$
Central,Minnesota Twins,59,103,0,.364,35.5,$
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
West,Texas Rangers,95,67,0,.586,--,$
West,Seattle Mariners,86,76,0,.531,9,$
West,Houston Astros,84,78,0,.519,11,$
West,Los Angeles Angels,74,88,0,.457,21,$
West,Oakland Athletics,69,93,0,.426,26,$
2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List
