0,1,2,3,4
2015 American League Pitcher Review  Pitching Statistics League Leaderboard,2015 American League Pitcher Review  Pitching Statistics League Leaderboard,2015 American League Pitcher Review  Pitching Statistics League Leaderboard,2015 American League Pitcher Review  Pitching Statistics League Leaderboard,2015 American League Pitcher Review  Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Mark Buehrle,Toronto,4,Top 25
Complete Games,Corey Kluber,Cleveland,4,Top 25
ERA,David Price,Detroit / Toronto,2.45,Top 25
Games,Kevin Jepsen,Tampa Bay / Minnesota,75,Top 25
Saves,Brad Boxberger,Tampa Bay,41,Top 25
Shutouts,Sonny Gray,Oakland,2,Top 25
Shutouts,Felix Hernandez,Seattle,2,Top 25
Shutouts,Dallas Keuchel,Houston,2,Top 25
Shutouts,Mike Montgomery,Seattle,2,Top 25
Shutouts,Jeff Samardzija,Chicago,2,Top 25
Strikeouts,Chris Sale,Chicago,274,Top 25
Winning Percentage,David Price,Detroit / Toronto,.783,Top 25
Wins,Dallas Keuchel,Houston,20,Top 25
Statistic,Name,Team,#,Top 25
