0,1,2,3,4
2019 American League Player Review Hitting Statistics League Leaderboard,2019 American League Player Review Hitting Statistics League Leaderboard,2019 American League Player Review Hitting Statistics League Leaderboard,2019 American League Player Review Hitting Statistics League Leaderboard,2019 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Alex Bregman,Houston Astros,119,Top 25
Batting Average,Tim Anderson,Chicago White Sox,.335,Top 25
Doubles,Rafael Devers,Boston Red Sox,54,Top 25
Hits,Whit Merrifield,Kansas City Royals,206,Top 25
Home Runs,Jorge Soler,Kansas City Royals,48,Top 25
On Base Percentage,Mike Trout,Los Angeles Angels,.438,Top 25
RBI,Jose Abreu,Chicago White Sox,123,Top 25
Runs,Mookie Betts,Boston Red Sox,135,Top 25
Slugging Average,Mike Trout,Los Angeles Angels,.645,Top 25
Stolen Bases,Mallex Smith,Tampa Bay Rays,46,Top 25
Total Bases,Rafael Devers,Boston Red Sox,359,Top 25
Triples,Hunter Dozier,Kansas City Royals,10,Top 25
Triples,Whit Merrifield,Kansas City Royals,10,Top 25
Triples,Adalberto Mondesi,Kansas City Royals,10,Top 25
Statistic,Name,Team,#,Top 25
