0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard
TEAM,W,L,ERA,G,CG,SHO,SV,IP,HA,R,ER,HR,HBP,BB,SO
Anaheim,77,85,4.28,162,5,9,39,1431.1,1444,743,680,190,76,486,980
Baltimore,71,91,4.76,163,9,3,41,1449.2,1579,820,767,198,80,526,981
Boston,95,67,4.48,162,5,6,36,1464.2,1503,809,729,153,76,488,1141
Chicago,86,76,4.17,162,12,4,36,1431.0,1364,715,663,162,53,518,1056
Cleveland,68,94,4.21,162,5,7,34,1459.1,1477,778,682,179,64,501,943
Detroit,43,119,5.30,162,3,5,27,1438.2,1616,928,847,195,56,557,764
Kansas City,83,79,5.05,162,7,10,36,1438.2,1569,867,808,190,66,566,865
Minnesota,90,72,4.41,162,7,8,45,1462.0,1526,758,716,187,50,402,997
New York,101,61,4.02,163,8,12,49,1462.0,1512,716,653,145,49,375,1119
Oakland,96,66,3.63,162,16,14,48,1441.2,1336,643,582,140,54,499,1018
Seattle,93,69,3.76,162,8,15,38,1441.0,1340,637,602,173,54,466,1001
Tampa Bay,63,99,4.93,162,7,7,30,1436.2,1454,852,787,196,95,639,877
Texas,71,91,5.67,162,4,3,43,1433.1,1625,969,903,208,63,603,1009
Toronto,86,76,4.69,162,14,6,36,1435.0,1560,826,748,184,57,485,984
2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00"
