0,1,2
2000 American League Team Review  Hitting Statistics League Leaderboard,2000 American League Team Review  Hitting Statistics League Leaderboard,2000 American League Team Review  Hitting Statistics League Leaderboard
Statistic,Team,#
Base on Balls,Seattle,775
Batting Average,Cleveland,.288
Doubles,Texas,330
Hits,Kansas City,1644
Home Runs,Toronto,244
On Base Percentage,Cleveland,.367
Runs,Chicago,978
Slugging Average,Anaheim,.472
Stolen Bases,Baltimore,126
Triples,Minnesota,49
