0,1,2,3,4,5,6,7
2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
East,New York Yankees,95,67,0,.586,--,"$208,206,817"
East,Boston Red Sox,95,67,0,.586,--,"$123,505,125"
East,Toronto Blue Jays,80,82,0,.494,15,"$45,719,500"
East,Baltimore Orioles,74,88,0,.457,21,"$73,914,333"
East,Tampa Bay Devil Rays,67,95,0,.414,28,"$29,363,067"
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Chicago White Sox,99,63,0,.611,--,"$75,178,000"
Central,Cleveland Indians,93,69,0,.574,6,"$41,502,500"
Central,Minnesota Twins,83,79,0,.512,16,"$56,186,000"
Central,Detroit Tigers,71,91,0,.438,28,"$69,092,000"
Central,Kansas City Royals,56,106,0,.346,43,"$36,881,000"
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
West,Los Angeles Angels of Anaheim,95,67,0,.586,--,"$97,725,322"
West,Oakland Athletics,88,74,0,.543,7,"$55,425,762"
West,Texas Rangers,79,83,0,.488,16,"$55,849,000"
West,Seattle Mariners,69,93,0,.426,26,"$87,754,334"
2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings
"Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00"
