0,1,2,3,4
2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →
Statistic,Name,Team,#,Top 25
Base on Balls,Daric Barton,Oakland,110,Top 25
Batting Average,Josh Hamilton,Texas,.359,Top 25
Doubles,Adrian Beltre,Boston,49,Top 25
Hits,Ichiro Suzuki,Seattle,214,Top 25
Home Runs,Jose Bautista,Toronto,54,Top 25
On Base Percentage,Miguel Cabrera,Detroit,.420,Top 25
RBI,Miguel Cabrera,Detroit,126,Top 25
Runs,Mark Teixeira,New York,113,Top 25
Slugging Average,Josh Hamilton,Texas,.633,Top 25
Stolen Bases,Juan Pierre,Chicago,68,Top 25
Total Bases,Jose Bautista,Toronto,351,Top 25
Triples,Carl Crawford,Tampa Bay,13,Top 25
Statistic,Name,Team,#,Top 25
2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
