0,1,2,3,4
2013 American League Player Review Hitting Statistics League Leaderboard,2013 American League Player Review Hitting Statistics League Leaderboard,2013 American League Player Review Hitting Statistics League Leaderboard,2013 American League Player Review Hitting Statistics League Leaderboard,2013 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Mike Trout,Los Angeles,110,Top 25
Batting Average,Miguel Cabrera,Detroit,.348,Top 25
Doubles,Manny Machado,Baltimore,51,Top 25
Hits,Adrian Beltre,Texas,199,Top 25
Home Runs,Chris Davis,Baltimore,53,Top 25
On Base Percentage,Miguel Cabrera,Detroit,.442,Top 25
RBI,Chris Davis,Baltimore,138,Top 25
Runs,Mike Trout,Los Angeles,109,Top 25
Slugging Average,Miguel Cabrera,Detroit,.636,Top 25
Stolen Bases,Jacoby Ellsbury,Boston,52,Top 25
Total Bases,Chris Davis,Baltimore,370,Top 25
Triples,Brett Gardner,New York,10,Top 25
Statistic,Name,Team,#,Top 25
