0,1,2,3,4,5,6,7
2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
East,New York Yankees,101,61,1,.623,--,"$152,749,814"
East,Boston Red Sox,95,67,0,.586,6,"$99,946,500"
East,Toronto Blue Jays,86,76,0,.531,15,"$51,269,000"
East,Baltimore Orioles,71,91,1,.438,30,"$73,877,500"
East,Tampa Bay Devil Rays,63,99,0,.389,38,"$19,630,000"
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Minnesota Twins,90,72,0,.556,--,"$55,505,000"
Central,Chicago White Sox,86,76,0,.531,4,"$51,010,000"
Central,Kansas City Royals,83,79,0,.512,7,"$40,518,000"
Central,Cleveland Indians,68,94,0,.420,22,"$48,584,834"
Central,Detroit Tigers,43,119,0,.265,47,"$49,168,000"
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
West,Oakland Athletics,96,66,0,.593,--,"$50,260,834"
West,Seattle Mariners,93,69,0,.574,3,"$86,959,167"
West,Anaheim Angels,77,85,0,.475,19,"$79,031,667"
West,Texas Rangers,71,91,0,.438,25,"$103,491,667"
2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings
