0,1,2,3,4
2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →,2012 American League Player Review ← 2011 | 2012 Hitting Statistics League Leaders | 2013 →
Statistic,Name,Team,#,Top 25
Base on Balls,Adam Dunn,Chicago,105,Top 25
Batting Average,Miguel Cabrera,Detroit,.330,Top 25
Doubles,Alex Gordon,Kansas City,51,Top 25
Hits,Derek Jeter,New York,216,Top 25
Home Runs,Miguel Cabrera,Detroit,44,Top 25
On Base Percentage,Joe Mauer,Minnesota,.416,Top 25
RBI,Miguel Cabrera,Detroit,139,Top 25
Runs,Mike Trout,Los Angeles,129,Top 25
Slugging Average,Miguel Cabrera,Detroit,.606,Top 25
Stolen Bases,Mike Trout,Los Angeles,49,Top 25
Total Bases,Miguel Cabrera,Detroit,377,Top 25
Triples,Austin Jackson,Detroit,10,Top 25
Statistic,Name,Team,#,Top 25
2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2012 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
