0,1,2,3,4
2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →
Statistic,Name,Team,#,Top 25
Complete Games,Gerrit Cole,New York Yankees,2,Top 25
Complete Games,Sean Manaea,Oakland Athletics,2,Top 25
ERA,Robbie Ray,Toronto Blue Jays,2.84,Top 25
Games,Bryan Shaw,Cleveland Indians,81,Top 25
Saves,Liam Hendriks,Chicago White Sox,38,Top 25
Shutouts,Sean Manaea,Oakland Athletics,2,Top 25
Strikeouts,Robbie Ray,Toronto Blue Jays,248,Top 25
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722,Top 25
Wins,Gerrit Cole,New York Yankees,16,Top 25
Statistic,Name,Team,#,Top 25
2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History
