0,1,2,3,4
2005 American League Player Review Hitting Statistics League Leaderboard,2005 American League Player Review Hitting Statistics League Leaderboard,2005 American League Player Review Hitting Statistics League Leaderboard,2005 American League Player Review Hitting Statistics League Leaderboard,2005 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Jason Giambi,New York,108,Top 25
Batting Average,Michael Young,Texas,.331,Top 25
Doubles,Miguel Tejada,Baltimore,50,Top 25
Hits,Michael Young,Texas,221,Top 25
Home Runs,Alex Rodriguez,New York,48,Top 25
On Base Percentage,Jason Giambi,New York,.440,Top 25
RBI,David Ortiz,Boston,148,Top 25
Runs,Alex Rodriguez,New York,124,Top 25
Slugging Average,Alex Rodriguez,New York,.610,Top 25
Stolen Bases,Chone Figgins,Los Angeles,62,Top 25
Total Bases,Mark Teixeira,Texas,370,Top 25
Triples,Carl Crawford,Tampa Bay,15,Top 25
Statistic,Name,Team,#,Top 25
