0,1,2,3,4,5,6,7
2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings,2013 American League Team Standings
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
East,Boston Red Sox,97,65,0,.599,--,$
East,Tampa Bay Rays,92,71,0,.564,5½,$
East,Baltimore Orioles,85,77,0,.525,12,$
East,New York Yankees,85,77,0,.525,12,$
East,Toronto Blue Jays,74,88,0,.457,23,$
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Central,Detroit Tigers,93,69,0,.574,--,$
Central,Cleveland Indians,92,70,0,.568,1,$
Central,Kansas City Royals,86,76,0,.531,7,$
Central,Minnesota Twins,66,96,0,.407,27,$
Central,Chicago White Sox,63,99,0,.389,30,$
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
West,Oakland Athletics,96,66,0,.593,--,$
West,Texas Rangers,91,72,0,.558,5½,$
West,Los Angeles Angels,78,84,0,.481,18,$
West,Seattle Mariners,71,91,0,.438,25,$
West,Houston Astros,51,111,0,.315,45,$
2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings,2013 American League Final Standings
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List
