0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard
TEAM,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS,OBP,SLG,AVG
Anaheim,162,5675,836,1603,272,37,162,783,2435,450,942,143,46,.341,.429,.282
Baltimore,162,5736,842,1614,319,18,169,803,2476,528,949,101,41,.345,.432,.281
Boston,162,5720,949,1613,373,25,222,912,2702,659,1189,68,30,.360,.472,.282
Chicago,162,5534,865,1481,284,19,242,823,2529,499,1030,78,51,.333,.457,.268
Cleveland,162,5676,858,1565,345,29,184,820,2520,606,1009,94,55,.351,.444,.276
Detroit,162,5623,827,1531,284,54,201,800,2526,518,1144,86,50,.337,.449,.272
Kansas City,162,5538,720,1432,261,29,150,675,2201,461,1057,67,48,.322,.397,.259
Minnesota,162,5623,780,1494,310,24,191,735,2425,513,982,116,46,.332,.431,.266
New York,162,5527,897,1483,281,20,242,863,2530,670,982,84,33,.353,.458,.268
Oakland,162,5728,793,1545,336,15,189,752,2478,608,1061,47,22,.343,.433,.270
Seattle,162,5722,698,1544,276,20,136,658,2268,492,1058,110,42,.331,.396,.270
Tampa Bay,161,5483,714,1416,278,46,145,685,2221,469,944,132,42,.320,.405,.258
Texas,162,5615,860,1492,323,34,227,825,2564,500,1099,69,36,.329,.457,.266
Toronto,161,5531,719,1438,290,34,145,680,2231,513,1083,58,31,.328,.403,.260
TEAM,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS,OBP,SLG,AVG
2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard
