0,1,2,3,4
2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Pitching Statistics League Leaders | 2009 →
Statistic,Name,Team,#,Top 25
Complete Games,Roy Halladay,Toronto,9,Top 25
ERA,Cliff Lee,Cleveland,2.54,Top 25
Games,Matt Guerrier,Minnesota,76,Top 25
Games,Francisco Rodriguez,Los Angeles,76,Top 25
Saves,Francisco Rodriguez,Los Angeles,62,Top 25
Shutouts,Matt Garza,Tampa Bay,2,Top 25
Shutouts,Roy Halladay,Toronto,2,Top 25
Shutouts,Cliff Lee,Cleveland,2,Top 25
Shutouts,Jon Lester,Boston,2,Top 25
Shutouts,Jesse Litsch,Toronto,2,Top 25
Shutouts,C.C. Sabathia,Cleveland,2,Top 25
Shutouts,James Shields,Tampa Bay,2,Top 25
Shutouts,Kevin Slowey,Minnesota,2,Top 25
Strikeouts,A.J. Burnett,Toronto,231,Top 25
Winning Percentage,Cliff Lee,Cleveland,.880,Top 25
Wins,Cliff Lee,Cleveland,22,Top 25
Statistic,Name,Team,#,Top 25
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
