0,1,2
2001 American League Team Review Hitting Statistics League Leaderboard,2001 American League Team Review Hitting Statistics League Leaderboard,2001 American League Team Review Hitting Statistics League Leaderboard
Statistic,Team,#
Base on Balls,Oakland,640
Batting Average,Seattle,.288
Doubles,Oakland,334
Hits,Seattle,1637
Home Runs,Texas,246
On Base Percentage,Seattle,.360
Runs,Seattle,927
Slugging Average,Texas,.471
Stolen Bases,Seattle,174
Triples,Detroit,60
