0,1,2,3,4,5,6
2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series
East,Team | Roster,Wins,Losses,Ties,WP,GB
East,Boston Red Sox,93,69,0,.574,--
East,New York Yankees,91,71,0,.562,2.0
East,Tampa Bay Rays,80,82,0,.494,13.0
East,Toronto Blue Jays,76,86,0,.469,17.0
East,Baltimore Orioles,75,87,0,.463,18.0
Central,Team | Roster,Wins,Losses,Ties,WP,GB
Central,Cleveland Indians,102,60,0,.630,--
Central,Minnesota Twins,85,77,0,.525,17.0
Central,Kansas City Royals,80,82,0,.494,22.0
Central,Chicago White Sox,67,95,0,.414,35.0
Central,Detroit Tigers,64,98,0,.395,38.0
West,Team | Roster,Wins,Losses,Ties,WP,GB
West,Houston Astros,101,61,0,.623,--
West,Los Angeles Angels,80,82,0,.494,21.0
West,Seattle Mariners,78,84,0,.481,23.0
West,Texas Rangers,78,84,0,.481,23.0
West,Oakland Athletics,75,87,0,.463,26.0
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB
2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings
