0,1,2,3,4
2003 American League Player Review Hitting Statistics League Leaderboard,2003 American League Player Review Hitting Statistics League Leaderboard,2003 American League Player Review Hitting Statistics League Leaderboard,2003 American League Player Review Hitting Statistics League Leaderboard,2003 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Jason Giambi,New York,129,Top 25
Batting Average,Bill Mueller,Boston,.326,Top 25
Doubles,Garret Anderson,Anaheim,49,Top 25
Doubles,Vernon Wells,Toronto,49,Top 25
Hits,Vernon Wells,Toronto,215,Top 25
Home Runs,Alex Rodriguez,Texas,47,Top 25
On Base Percentage,Manny Ramirez,Boston,.427,Top 25
RBI,Carlos Delgado,Toronto,145,Top 25
Runs,Alex Rodriguez,Texas,124,Top 25
Slugging Average,Alex Rodriguez,Texas,.600,Top 25
Stolen Bases,Carl Crawford,Tampa Bay,55,Top 25
Total Bases,Vernon Wells,Toronto,373,Top 25
Triples,Cristian Guzman,Minnesota,14,Top 25
Statistic,Name,Team,#,Top 25
