0,1,2,3,4
2014 American League Pitcher Review Pitching Statistics League Leaderboard,2014 American League Pitcher Review Pitching Statistics League Leaderboard,2014 American League Pitcher Review Pitching Statistics League Leaderboard,2014 American League Pitcher Review Pitching Statistics League Leaderboard,2014 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Dallas Keuchel,Houston,5,Top 25
ERA,Felix Hernandez,Seattle,2.14,Top 25
Games,Bryan Shaw,Cleveland,80,Top 25
Saves,Fernando Rodney,Seattle,48,Top 25
Shutouts,Rick Porcello,Detroit,3,Top 25
Strikeouts,David Price,Tampa Bay / Detroit,271,Top 25
Winning Percentage,Max Scherzer,Detroit,.783,Top 25
Wins,Corey Kluber,Texas,18,Top 25
Wins,Max Scherzer,Detroit,18,Top 25
Wins,Jered Weaver,Los Angeles,18,Top 25
Statistic,Name,Team,#,Top 25
2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History
