0,1,2,3,4
2018 American League Player Review Hitting Statistics League Leaderboard,2018 American League Player Review Hitting Statistics League Leaderboard,2018 American League Player Review Hitting Statistics League Leaderboard,2018 American League Player Review Hitting Statistics League Leaderboard,2018 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Mike Trout,Los Angeles Angels,122,Top 25
Batting Average,Mookie Betts,Boston Red Sox,.346,Top 25
Doubles,Alex Bregman,Houston Astros,50,Top 25
Hits,Whit Merrifield,Kansas City Royals,192,Top 25
Home Runs,Khris Davis,Oakland Athletics,48,Top 25
On Base Percentage,Mike Trout,Los Angeles Angels,.460,Top 25
RBI,J.D. Martinez,Boston Red Sox,130,Top 25
Runs,Mookie Betts,Boston Red Sox,129,Top 25
Slugging Average,Mookie Betts,Boston Red Sox,.640,Top 25
Stolen Bases,Whit Merrifield,Kansas City Royals,45,Top 25
Total Bases,J.D. Martinez,Boston Red Sox,358,Top 25
Triples,Yolmer Sanchez,Chicago White Sox,10,Top 25
Triples,Mallex Smith,Tampa Bay Rays,10,Top 25
Statistic,Name,Team,#,Top 25
2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History
