0,1,2,3,4
2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →
Statistic,Name,Team,#,Top 25
Complete Games,Gerrit Cole,New York Yankees,2,Top 25
ERA,Shane Bieber,Cleveland Indians,1.63,Top 25
Games,Scott Barlow,Kansas City Royals,32,Top 25
Saves,Brad Hand,Cleveland Indians,16,Top 25
Shutouts,Gerrit Cole,New York Yankees,1,Top 25
Shutouts,Kyle Gibson,Texas Rangers,1,Top 25
Shutouts,Lucas Giolito,Chicago White Sox,1,Top 25
Shutouts,Brad Keller,Kansas City Royals,1,Top 25
Shutouts,Mike Minor,Oakland Athletics,1,Top 25
Strikeouts,Shane Bieber,Cleveland Indians,122,Top 25
Winning Percentage,Shane Bieber,Cleveland Indians,.889,Top 25
Wins,Shane Bieber,Cleveland Indians,8,Top 25
Statistic,Name,Team,#,Top 25
2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History
