0,1,2,3,4
2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →
Statistic,Name,Team,#,Top 25
Base on Balls,Carlos Santana,Cleveland Indians,47,Top 25
Batting Average,DJ LeMahieu,New York Yankees,.364,Top 25
Doubles,Cesar Hernandez,Cleveland Indians,20,Top 25
Hits,Jose Abreu,Chicago White Sox,76,Top 25
Home Runs,Luke Voit,New York Yankees,22,Top 25
On Base Percentage,DJ LeMahieu,New York Yankees,.421,Top 25
RBI,Jose Abreu,Chicago White Sox,60,Top 25
Runs,Tim Anderson,Chicago White Sox,45,Top 25
Runs,Jose Ramirez,Cleveland Indians,45,Top 25
Slugging Average,Jose Abreu,Chicago White Sox,.617,Top 25
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24,Top 25
Total Bases,Jose Abreu,Chicago White Sox,148,Top 25
Triples,Kyle Tucker,Houston Astros,6,Top 25
Statistic,Name,Team,#,Top 25
2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History
