0,1,2,3,4
2019 American League Pitcher Review Pitching Statistics League Leaderboard,2019 American League Pitcher Review Pitching Statistics League Leaderboard,2019 American League Pitcher Review Pitching Statistics League Leaderboard,2019 American League Pitcher Review Pitching Statistics League Leaderboard,2019 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Shane Bieber,Cleveland Indians,3,Top 25
Complete Games,Lucas Giolito,Chicago White Sox,3,Top 25
ERA,Gerrit Cole,Houston Astros,2.50,Top 25
Games,Yusmeiro Petit,Oakland Athletics,80,Top 25
Saves,Roberto Osuna,Houston Astros,38,Top 25
Shutouts,Shane Bieber,Cleveland Indians,2,Top 25
Shutouts,Lucas Giolito,Chicago White Sox,2,Top 25
Strikeouts,Gerrit Cole,Houston Astros,326,Top 25
Winning Percentage,Gerrit Cole,Houston Astros,.800,Top 25
Wins,Justin Verlander,Houston Astros,21,Top 25
Statistic,Name,Team,#,Top 25
