0,1,2,3,4
2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →
Statistic,Name,Team,#,Top 25
Complete Games,Framber Valdez,Houston Astros,3,Top 25
ERA,Justin Verlander,Houston Astros,1.75,Top 25
Games,Adam Cimber,Toronto Blue Jays,77,Top 25
Games,Emmanuel Clase,Cleveland Guardians,77,Top 25
Saves,Emmanuel Clase,Cleveland Guardians,42,Top 25
Shutouts,Dylan Cease,Chicago White Sox,1,Top 25
Shutouts,Nestor Cortes,New York Yankees,1,Top 25
Shutouts,Reid Detmers,Los Angeles Angels,1,Top 25
Shutouts,Nathan Eovaldi,Boston Red Sox,1,Top 25
Shutouts,Dean Kremer,Baltimore Orioles,1,Top 25
Shutouts,Martín Pérez,Texas Rangers,1,Top 25
Shutouts,Patrick Sandoval,Los Angeles Angels,1,Top 25
Shutouts,Framber Valdez,Houston Astros,1,Top 25
Shutouts,Michael Wacha,Boston Red Sox,1,Top 25
Strikeouts,Corbin Burnes,Milwaukee Brewers,243,Top 25
Winning Percentage,Justin Verlander,Houston Astros,.818,Top 25
Wins,Justin Verlander,Houston Astros,18,Top 25
Statistic,Name,Team,#,Top 25
2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History
