0,1,2,3,4
2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →
Statistic,Name,Team,#,Top 25
Base on Balls,Aaron Judge,New York Yankees,111,Top 25
Batting Average,Luis Arraez,Minnesota Twins,.316,Top 25
Doubles,José Ramírez,Cleveland Guardians,44,Top 25
Hits,Bo Bichette,Toronto Blue Jays,189,Top 25
Home Runs,Aaron Judge,New York Yankees,62,Top 25
On Base Percentage,Aaron Judge,New York Yankees,.425,Top 25
RBI,Aaron Judge,New York Yankees,131,Top 25
Runs,Aaron Judge,New York Yankees,133,Top 25
Slugging Average,Aaron Judge,New York Yankees,.686,Top 25
Stolen Bases,Jorge Mateo,Baltimore Orioles,35,Top 25
Total Bases,Aaron Judge,New York Yankees,391,Top 25
Triples,Amed Rosario,Cleveland Guardians,9,Top 25
Statistic,Name,Team,#,Top 25
2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History
