0,1,2,3,4
2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →
Statistic,Name,Team,#,Top 25
Base on Balls,Aaron Judge,New York,133,Top 25
Batting Average,Bobby Witt Jr.,Kansas City,.332,Top 25
Doubles,Jarren Duran,Boston,48,Top 25
Hits,Bobby Witt Jr.,Kansas City,211,Top 25
Home Runs,Aaron Judge,New York,58,Top 25
On Base Percentage,Aaron Judge,New York,.458,Top 25
RBI,Aaron Judge,New York,144,Top 25
Runs,Juan Soto,New York,128,Top 25
Slugging Average,Aaron Judge,New York,.701,Top 25
Stolen Bases,Jose Caballero,Tampa Bay,44,Top 25
Total Bases,Aaron Judge,New York,392,Top 25
Triples,Jarren Duran,Boston,14,Top 25
Statistic,Name,Team,#,Top 25
2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History
