0,1,2,3,4
2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →,2010 American League Pitcher Review ← 2009 | 2010 Pitching Statistics League Leaders | 2011 →
Statistic,Name,Team,#,Top 25
Complete Games,Cliff Lee,Seattle / Texas,7,Top 25
Complete Games,Carl Pavano,Minnesota,7,Top 25
ERA,Felix Hernandez,Seattle,2.27,Top 25
Games,Randy Choate,Tampa Bay,85,Top 25
Saves,Rafael Soriano,Tampa Bay,45,Top 25
Shutouts,Dallas Braden,Oakland,2,Top 25
Shutouts,Carl Pavano,Minnesota,2,Top 25
Strikeouts,Jered Weaver,Los Angeles,233,Top 25
Winning Percentage,Tommy Hunter,Texas,.765,Top 25
Wins,C.C. Sabathia,New York,21,Top 25
Statistic,Name,Team,#,Top 25
2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
