0,1,2,3,4
2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →
Statistic,Name,Team,#,Top 25
Base on Balls,Jack Cust,Oakland,111,Top 25
Batting Average,Joe Mauer,Minnesota,.330,Top 25
Doubles,Dustin Pedroia,Boston,54,Top 25
Hits,Dustin Pedroia,Boston,213,Top 25
Hits,Ichiro Suzuki,Seattle,213,Top 25
Home Runs,Miguel Cabrera,Detroit,37,Top 25
On Base Percentage,Milton Bradley,Texas,.436,Top 25
RBI,Josh Hamilton,Texas,130,Top 25
Runs,Dustin Pedroia,Boston,118,Top 25
Slugging Average,Alex Rodriguez,New York,.573,Top 25
Stolen Bases,Jacoby Ellsbury,Boston,50,Top 25
Total Bases,Josh Hamilton,Texas,331,Top 25
Triples,Curtis Granderson,Detroit,13,Top 25
Statistic,Name,Team,#,Top 25
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
